Issue ID,Epic,Epic Title,Issue Title,Assignee,Labels,Priority,Depends On
1.1,1,Foundation & Core Platform,Gradle multi-module skeleton + version catalog + CI,Harish G,build;ci,High,
1.2,1,Foundation & Core Platform,"Money value class (Long paise, HALF_EVEN, exact split)",Harish G,core;money,High,1.1
1.3,1,Foundation & Core Platform,Injected Clock + DispatcherProvider,Harish G,core;time,High,1.1
1.4,1,Foundation & Core Platform,"Result<T, AppError> error model",Harish G,core,High,1.1
1.5,1,Foundation & Core Platform,Custom lint (Money/GlobalScope/Clock/strings),Harish G,lint;quality,High,1.1;1.2;1.3
1.6,1,Foundation & Core Platform,Encrypted Room + SQLCipher DB + Keystore key,Harish G,database;security;crypto,High,1.1;1.4
1.7,1,Foundation & Core Platform,Room migration test harness,Harish G,database;testing,High,1.6
1.8,1,Foundation & Core Platform,"Design system (M3 theme, tokens, Compose charts)",Harish G,designsystem;ui,High,1.1
1.9,1,Foundation & Core Platform,Proto DataStore settings & consents,Harish G,datastore;privacy,High,1.1
1.10,1,Foundation & Core Platform,App shell + navigation + Hilt DI graph,Harish G,app;di,High,1.4;1.8
2.1,2,"Onboarding, Security & Accounts",4-step onboarding flow,Harish G,onboarding;ui,High,1.10;1.9
2.2,2,"Onboarding, Security & Accounts",Biometric/PIN app lock (BiometricPrompt),Harish G,security;auth,High,1.9;1.6
2.3,2,"Onboarding, Security & Accounts",Quick-setup seeds (income/rent/savings),Harish G,onboarding,Medium,2.1
2.4,2,"Onboarding, Security & Accounts",Demo mode with sample data,Harish G,onboarding,Medium,2.1
2.5,2,"Onboarding, Security & Accounts",Accounts CRUD (all types),Harish G,accounts,High,1.6
2.6,2,"Onboarding, Security & Accounts",Net worth = assets - liabilities + daily snapshot,Harish G,accounts;engine,High,2.5
2.7,2,"Onboarding, Security & Accounts",Account reconciliation flow,Harish G,accounts,Medium,2.5
3.1,3,Transactions & Capture,Add transaction ≤ 3 taps (FAB),Harish G,transactions;ui,High,2.5
3.2,3,Transactions & Capture,Transfers (single logical record),Harish G,transactions,High,3.1
3.3,3,Transactions & Capture,Split transactions (N lines),Harish G,transactions;money,High,3.1;1.2
3.4,3,Transactions & Capture,Future-dated transactions,Harish G,transactions,Medium,3.1
3.5,3,Transactions & Capture,Transaction source tracking,Harish G,transactions,High,3.1
3.6,3,Transactions & Capture,"Search, filters, bulk edit",Harish G,transactions,High,3.1
3.7,3,Transactions & Capture,Recurring detection,Harish G,transactions;engine,Medium,3.1
3.8,3,Transactions & Capture,OCR receipt scanning (ML Kit),Harish G,ocr;ml,High,3.1;1.6
3.9,3,Transactions & Capture,"SMS parsing (opt-in, on-device)",Harish G,sms;security,Medium,3.1
4.1,4,Categorisation & Budgets,Categories editor + merchant-rule KB,Harish G,categorisation,High,3.5
4.2,4,Categorisation & Budgets,Auto-categorisation v1 (AI-CLS Stage 1),Harish G,categorisation;ai,High,4.1
4.3,4,Categorisation & Budgets,Nature classification (Need/Want/Invest/Asset/Liability),Harish G,categorisation;ai,High,4.2
4.4,4,Categorisation & Budgets,Budgets CRUD + suggestions,Harish G,budgets,High,4.1
4.5,4,Categorisation & Budgets,Budget alerts (80%/100%),Harish G,budgets;notifications,High,4.4
4.6,4,Categorisation & Budgets,Monthly budget review,Harish G,budgets,Medium,4.4
5.1,5,"Dashboard, Export & Widget",Home dashboard v1,Harish G,dashboard;ui,High,2.6;4.4
5.2,5,"Dashboard, Export & Widget",Safe-to-Spend card,Harish G,dashboard;engine,High,5.1;4.3
5.3,5,"Dashboard, Export & Widget",Privacy blur toggle,Harish G,dashboard;privacy,High,5.1
5.4,5,"Dashboard, Export & Widget",Export/import JSON archive,Harish G,export;privacy,High,2.5;3.1
5.5,5,"Dashboard, Export & Widget",Home-screen widget (Glance),Harish G,widget,Medium,5.2
